,Voltaje(V),Campo(Oe),Resistencia(Ohm)
227,-5.109999999999809,-9896.717714431077,25.896230425
228,-5.199999999999807,-10047.513892602732,25.896042540000003
229,-5.2899999999998055,-10196.435787190054,25.896135915
230,-5.389999999999803,-10359.602309539396,25.896050635
231,-5.4799999999998015,-10504.283473962349,25.895345495000004
232,-5.5699999999998,-10646.815526217695,25.895369520000003
233,-5.659999999999798,-10787.104395015482,25.895322035000003
234,-5.749999999999796,-10925.053140995831,25.89526339
235,-5.849999999999794,-11075.463387356474,25.8949028
236,-5.939999999999792,-11208.140357102975,25.8946969
237,-6.02999999999979,-11338.156769595931,25.89448786
238,-6.119999999999788,-11465.403408683109,25.893947215
239,-6.209999999999786,-11589.76795378863,25.89381924
240,-6.299999999999784,-11711.134933669875,25.89350195
241,-6.399999999999782,-11842.327027862815,25.893436055
242,-6.48999999999978,-11956.972168002156,25.89357587
243,-6.579999999999778,-12068.239846510713,25.89259893
244,-6.669999999999776,-12176.001153566593,25.892608175
245,-6.759999999999774,-12280.12379232745,25.892918965
246,-6.859999999999772,-12391.382836424822,25.892886550000004
247,-6.94999999999977,-12487.373877543483,25.892762945
248,-7.039999999999768,-12579.292496153867,25.892894060000003
249,-7.129999999999766,-12666.991985158029,25.891765685000003
250,-7.219999999999764,-12750.322014083875,25.89141607
251,-7.309999999999762,-12829.128582842031,25.891385475000003
252,-7.40999999999976,-12911.19419096075,25.89147252
253,-7.499999999999758,-12979.928723981568,25.89188728
254,-7.5899999999997565,-13043.636714184397,25.89176579
255,-7.679999999999755,-13102.148589437358,25.89156103
256,-7.769999999999753,-13155.290871637597,25.89041919
